"date","Ts","Tb","H_ice"
1997-01-01,0.32,4,0
1997-01-02,1.75019,1.75019,0
1997-01-03,1.53802,1.53802,0
1997-01-04,1.35692,1.35692,0
1997-01-05,1.21465,1.21465,0
1997-01-06,1.09051,1.09051,0
1997-01-07,0.980713,0.980713,0
1997-01-08,0.892042,0.892042,0
1997-01-09,0.860732,0.860732,0
1997-01-10,0.81908,0.81908,0
1997-01-11,0.760316,0.760316,0
1997-01-12,0.69646,0.69646,0
1997-01-13,0.658322,0.658322,0
1997-01-14,0.596846,0.596846,0
1997-01-15,0.541316,0.541316,0
1997-01-16,0.48743,0.48743,0
1997-01-17,0.435087,0.435087,0
1997-01-18,0.383368,0.383368,0
1997-01-19,0.302658,0.302658,0
1997-01-20,0.196461,0.196461,0
1997-01-21,0.0699829,0.0699829,0
1997-01-22,0.000739382,0.000739382,0.0173986
1997-01-23,0.0183482,0.0183482,0.046293
1997-01-24,0.0313707,0.0313707,0.0665974
1997-01-25,0.0424969,0.0424969,0.081126
1997-01-26,0.056663,0.056663,0.0977075
1997-01-27,0.0688503,0.0688503,0.112231
1997-01-28,0.0822254,0.0822254,0.123236
1997-01-29,0.0917136,0.0917136,0.135749
1997-01-30,0.0975766,0.0975766,0.149333
1997-01-31,0.108109,0.108109,0.156352
1997-02-01,0.118733,0.118733,0.161489
1997-02-02,0.126754,0.126754,0.161875
1997-02-03,0.130298,0.130298,0.169199
1997-02-04,0.143518,0.143518,0.17309
1997-02-05,0.155507,0.155507,0.177468
1997-02-06,0.165781,0.165781,0.184682
1997-02-07,0.175598,0.175598,0.193099
1997-02-08,0.185964,0.185964,0.201024
1997-02-09,0.193763,0.193763,0.20997
1997-02-10,0.203554,0.203554,0.221015
1997-02-11,0.212598,0.212598,0.232564
1997-02-12,0.221117,0.221117,0.242759
1997-02-13,0.225507,0.225507,0.251346
1997-02-14,0.229722,0.229722,0.260682
1997-02-15,0.232548,0.232548,0.276154
1997-02-16,0.235391,0.235391,0.292792
1997-02-17,0.239557,0.239557,0.306035
1997-02-18,0.243643,0.243643,0.315229
1997-02-19,0.247009,0.247009,0.31981
1997-02-20,0.252862,0.252862,0.324508
1997-02-21,0.258707,0.258707,0.32979
1997-02-22,0.263826,0.263826,0.336884
1997-02-23,0.269031,0.269031,0.340731
1997-02-24,0.273573,0.273573,0.344157
1997-02-25,0.277741,0.277741,0.350713
1997-02-26,0.283175,0.283175,0.3542
1997-02-27,0.287198,0.287198,0.360101
1997-02-28,0.290731,0.290731,0.366309
1997-03-01,0.295916,0.295916,0.367528
1997-03-02,0.30007,0.30007,0.368161
1997-03-03,0.305447,0.305447,0.353311
1997-03-04,0.30908,0.30908,0.345505
1997-03-05,0.311442,0.311442,0.348742
1997-03-06,0.318631,0.318631,0.342528
1997-03-07,0.326465,0.326465,0.330184
1997-03-08,0.331792,0.331792,0.326035
1997-03-09,0.338947,0.338947,0.317071
1997-03-10,0.347036,0.347036,0.301031
1997-03-11,0.356371,0.356371,0.285223
1997-03-12,0.365306,0.365306,0.274713
1997-03-13,0.375247,0.375247,0.261092
1997-03-14,0.38497,0.38497,0.251744
1997-03-15,0.400482,0.400482,0.233163
1997-03-16,0.404208,0.404208,0.234895
1997-03-17,0.419195,0.419195,0.216315
1997-03-18,0.423271,0.423271,0.219794
1997-03-19,0.443712,0.443712,0.207939
1997-03-20,0.461026,0.461026,0.203648
1997-03-21,0.489042,0.489042,0.182654
1997-03-22,0.509836,0.509836,0.172762
1997-03-23,0.542087,0.542087,0.157423
1997-03-24,0.563647,0.563647,0.151609
1997-03-25,0.602751,0.602751,0.137137
