Hydrolab MS5 47228
Log File Name : 27h_exper
Setup Date (DD.MM.YYYY) : 23.06.2017
Setup Time (HH:MM:SS) : 10:14:58
Starting Date (DD.MM.YYYY) : 04.07.2017
Starting Time (HH:MM:SS) : 06:00:00
Stopping Date (DD.MM.YYYY) : 13.07.2017
Stopping Time (HH:MM:SS) : 18:00:00
Interval (HH:MM:SS) : 01:00:00
Sensor warmup (HH:MM:SS) : 00:02:00
Circltr warmup (HH:MM:SS) : 00:02:00

  Time    Dep100   Temp SpCond SpCond    LDO   LDO%     pH    TDG    TDG    TDG    Res    Sal    TDS DepthX DepthY     BP    ORP  IBatt  EBatt
HH:MM:SS  meters     ∞C  mS/cm  µS/cm   mg/l    Sat  Units   mmHg   psia     mV  k€-cm    ppt    g/l  volts mvolts   mmHg     mV  Volts  Volts

Date (DD.MM.YYYY) : 04.07.2017
06:00:00     -0.36  20.83    0.0      1   6.14   68.3   6.49    727  14.06  12.01   1851   0.01    0.0  0.907   1.11    764      -N  11.1    0.0 
07:00:00     -0.39  19.24    0.0      1   4.92   53.0   6.40    719  13.90  11.87   1864   0.01    0.0  0.904   1.10    764      -N  11.0    0.0 
08:00:00     -0.36  20.63    0.0      1   5.98   66.3   6.52    730  14.12  12.06   1482   0.01    0.0  0.906   1.10    764      -N  11.0    0.0 
09:00:00     -0.23  18.89    0.2    166   4.66   49.9   7.33    734  14.20  12.13      6   0.08    0.1  0.903   1.11    764      -N  11.0    0.0 
10:00:00     -0.27  18.94    0.2    166   4.70   50.3   7.54    736  14.23  12.16      6   0.08    0.1  0.904   1.11    764      -N  10.9    0.0 
11:00:00     -0.26  19.03    0.2    166   4.76   51.1   7.57    737  14.26  12.18      6   0.08    0.1  0.905   1.11    764      -N  10.9    0.0 
12:00:00     -0.27  19.15    0.2    166   4.85   52.1   7.59    739  14.29  12.20      6   0.08    0.1  0.905   1.11    764      -N  10.9    0.0 
13:00:00     -0.28  19.28    0.2    166   4.95   53.4   7.62    741  14.32  12.23      6   0.08    0.1  0.905   1.11    764      -N  10.9    0.0 
14:00:00     -0.27  19.24    0.2    166   4.92   53.0   7.64    741  14.33  12.24      6   0.08    0.1  0.905   1.11    764      -N  10.8    0.0 
15:00:00     -0.26  19.47    0.2    166   5.10   55.2   7.66    743  14.37  12.27      6   0.08    0.1  0.905   1.11    764      -N  10.8    0.0 
16:00:00     -0.26  19.59    0.2    166   5.18   56.2   7.75    745  14.42  12.31      6   0.08    0.1  0.905   1.11    764      -N  10.8    0.0 
17:00:00     -0.27  19.77    0.2    166   5.31   57.9   7.72    748  14.46  12.35      6   0.08    0.1  0.905   1.11    764      -N  10.8    0.0 
18:00:00     -0.26  19.71    0.2    166  60.00# 900.0#  7.74    747  14.45  12.34      6   0.08    0.1  0.905   1.11    764      -N  10.8    0.0 
